year,city,country,avg_temp
1832,Porto Alegre,Brazil,17.37
1833,Porto Alegre,Brazil,18.14
1834,Porto Alegre,Brazil,17.79
1835,Porto Alegre,Brazil,17.05
1836,Porto Alegre,Brazil,17.38
1837,Porto Alegre,Brazil,16.98
1838,Porto Alegre,Brazil,17.21
1839,Porto Alegre,Brazil,17.19
1840,Porto Alegre,Brazil,17.62
1841,Porto Alegre,Brazil,17.40
1842,Porto Alegre,Brazil,17.81
1843,Porto Alegre,Brazil,17.93
1844,Porto Alegre,Brazil,
1845,Porto Alegre,Brazil,
1846,Porto Alegre,Brazil,
1847,Porto Alegre,Brazil,
1848,Porto Alegre,Brazil,
1849,Porto Alegre,Brazil,
1850,Porto Alegre,Brazil,
1851,Porto Alegre,Brazil,17.90
1852,Porto Alegre,Brazil,17.93
1853,Porto Alegre,Brazil,17.92
1854,Porto Alegre,Brazil,18.06
1855,Porto Alegre,Brazil,17.94
1856,Porto Alegre,Brazil,17.63
1857,Porto Alegre,Brazil,18.21
1858,Porto Alegre,Brazil,17.34
1859,Porto Alegre,Brazil,17.70
1860,Porto Alegre,Brazil,17.76
1861,Porto Alegre,Brazil,17.60
1862,Porto Alegre,Brazil,17.63
1863,Porto Alegre,Brazil,17.38
1864,Porto Alegre,Brazil,17.71
1865,Porto Alegre,Brazil,18.02
1866,Porto Alegre,Brazil,17.89
1867,Porto Alegre,Brazil,17.82
1868,Porto Alegre,Brazil,18.49
1869,Porto Alegre,Brazil,18.15
1870,Porto Alegre,Brazil,18.23
1871,Porto Alegre,Brazil,17.75
1872,Porto Alegre,Brazil,17.98
1873,Porto Alegre,Brazil,18.13
1874,Porto Alegre,Brazil,17.33
1875,Porto Alegre,Brazil,17.39
1876,Porto Alegre,Brazil,17.55
1877,Porto Alegre,Brazil,18.56
1878,Porto Alegre,Brazil,17.91
1879,Porto Alegre,Brazil,17.49
1880,Porto Alegre,Brazil,17.74
1881,Porto Alegre,Brazil,17.82
1882,Porto Alegre,Brazil,17.28
1883,Porto Alegre,Brazil,17.55
1884,Porto Alegre,Brazil,17.62
1885,Porto Alegre,Brazil,17.73
1886,Porto Alegre,Brazil,17.28
1887,Porto Alegre,Brazil,17.62
1888,Porto Alegre,Brazil,18.20
1889,Porto Alegre,Brazil,17.96
1890,Porto Alegre,Brazil,17.37
1891,Porto Alegre,Brazil,18.00
1892,Porto Alegre,Brazil,17.73
1893,Porto Alegre,Brazil,17.18
1894,Porto Alegre,Brazil,17.69
1895,Porto Alegre,Brazil,18.26
1896,Porto Alegre,Brazil,18.46
1897,Porto Alegre,Brazil,18.27
1898,Porto Alegre,Brazil,17.61
1899,Porto Alegre,Brazil,18.37
1900,Porto Alegre,Brazil,18.68
1901,Porto Alegre,Brazil,17.77
1902,Porto Alegre,Brazil,18.52
1903,Porto Alegre,Brazil,18.18
1904,Porto Alegre,Brazil,17.77
1905,Porto Alegre,Brazil,17.80
1906,Porto Alegre,Brazil,18.40
1907,Porto Alegre,Brazil,17.79
1908,Porto Alegre,Brazil,17.55
1909,Porto Alegre,Brazil,17.40
1910,Porto Alegre,Brazil,17.54
1911,Porto Alegre,Brazil,17.08
1912,Porto Alegre,Brazil,17.90
1913,Porto Alegre,Brazil,18.45
1914,Porto Alegre,Brazil,18.72
1915,Porto Alegre,Brazil,18.30
1916,Porto Alegre,Brazil,17.79
1917,Porto Alegre,Brazil,17.49
1918,Porto Alegre,Brazil,17.99
1919,Porto Alegre,Brazil,18.62
1920,Porto Alegre,Brazil,18.25
1921,Porto Alegre,Brazil,17.92
1922,Porto Alegre,Brazil,18.11
1923,Porto Alegre,Brazil,18.15
1924,Porto Alegre,Brazil,17.14
1925,Porto Alegre,Brazil,18.24
1926,Porto Alegre,Brazil,18.84
1927,Porto Alegre,Brazil,18.32
1928,Porto Alegre,Brazil,18.37
1929,Porto Alegre,Brazil,18.17
1930,Porto Alegre,Brazil,18.47
1931,Porto Alegre,Brazil,17.82
1932,Porto Alegre,Brazil,18.67
1933,Porto Alegre,Brazil,18.11
1934,Porto Alegre,Brazil,18.29
1935,Porto Alegre,Brazil,18.18
1936,Porto Alegre,Brazil,18.47
1937,Porto Alegre,Brazil,17.92
1938,Porto Alegre,Brazil,18.15
1939,Porto Alegre,Brazil,18.36
1940,Porto Alegre,Brazil,18.64
1941,Porto Alegre,Brazil,18.03
1942,Porto Alegre,Brazil,17.91
1943,Porto Alegre,Brazil,18.48
1944,Porto Alegre,Brazil,18.70
1945,Porto Alegre,Brazil,18.60
1946,Porto Alegre,Brazil,18.22
1947,Porto Alegre,Brazil,18.09
1948,Porto Alegre,Brazil,18.35
1949,Porto Alegre,Brazil,18.39
1950,Porto Alegre,Brazil,18.40
1951,Porto Alegre,Brazil,18.18
1952,Porto Alegre,Brazil,18.41
1953,Porto Alegre,Brazil,18.58
1954,Porto Alegre,Brazil,18.32
1955,Porto Alegre,Brazil,17.87
1956,Porto Alegre,Brazil,17.55
1957,Porto Alegre,Brazil,18.43
1958,Porto Alegre,Brazil,18.77
1959,Porto Alegre,Brazil,18.63
1960,Porto Alegre,Brazil,18.33
1961,Porto Alegre,Brazil,19.12
1962,Porto Alegre,Brazil,17.86
1963,Porto Alegre,Brazil,18.78
1964,Porto Alegre,Brazil,17.79
1965,Porto Alegre,Brazil,18.49
1966,Porto Alegre,Brazil,18.30
1967,Porto Alegre,Brazil,18.83
1968,Porto Alegre,Brazil,18.42
1969,Porto Alegre,Brazil,18.42
1970,Porto Alegre,Brazil,18.69
1971,Porto Alegre,Brazil,18.18
1972,Porto Alegre,Brazil,18.50
1973,Porto Alegre,Brazil,18.49
1974,Porto Alegre,Brazil,18.35
1975,Porto Alegre,Brazil,18.40
1976,Porto Alegre,Brazil,17.90
1977,Porto Alegre,Brazil,19.43
1978,Porto Alegre,Brazil,18.63
1979,Porto Alegre,Brazil,18.01
1980,Porto Alegre,Brazil,18.72
1981,Porto Alegre,Brazil,18.86
1982,Porto Alegre,Brazil,19.00
1983,Porto Alegre,Brazil,18.44
1984,Porto Alegre,Brazil,18.67
1985,Porto Alegre,Brazil,19.23
1986,Porto Alegre,Brazil,19.26
1987,Porto Alegre,Brazil,18.47
1988,Porto Alegre,Brazil,18.07
1989,Porto Alegre,Brazil,18.61
1990,Porto Alegre,Brazil,18.47
1991,Porto Alegre,Brazil,19.11
1992,Porto Alegre,Brazil,18.72
1993,Porto Alegre,Brazil,18.69
1994,Porto Alegre,Brazil,19.15
1995,Porto Alegre,Brazil,18.89
1996,Porto Alegre,Brazil,18.63
1997,Porto Alegre,Brazil,19.12
1998,Porto Alegre,Brazil,18.49
1999,Porto Alegre,Brazil,18.39
2000,Porto Alegre,Brazil,18.65
2001,Porto Alegre,Brazil,19.73
2002,Porto Alegre,Brazil,19.49
2003,Porto Alegre,Brazil,19.07
2004,Porto Alegre,Brazil,18.75
2005,Porto Alegre,Brazil,19.42
2006,Porto Alegre,Brazil,19.35
2007,Porto Alegre,Brazil,19.05
2008,Porto Alegre,Brazil,18.80
2009,Porto Alegre,Brazil,18.84
2010,Porto Alegre,Brazil,19.01
2011,Porto Alegre,Brazil,18.82
2012,Porto Alegre,Brazil,19.72
2013,Porto Alegre,Brazil,17.84
